start_timestamp,sequence,cat,class_product,size,class_weight,start_timestamp,seconds
2020-11-11 04:09:08, Social News,N,2,3,1.0,2020-11-11 04:09:08,107.0
2020-11-11 04:23:38,Calendar Email Utilities Utliities,G,3,4,2.0,2020-11-11 04:23:38,61.0
2020-11-11 04:38:09,Utilities News Social,N,2,3,1.0,2020-11-11 04:38:09,2.0
2020-11-11 04:52:40,Utilities News Social,N,2,3,1.0,2020-11-11 04:52:40,3.0
2020-11-11 05:07:10,Calendar Email Utilities Utliities,G,3,4,2.0,2020-11-11 05:07:10,119.0
2020-11-11 05:21:41, Social News,P,1,3,0.5,2020-11-11 05:21:41,130.0
2020-11-11 05:36:11,Message NMU Portal Email Writing,G,3,5,2.5,2020-11-11 05:36:11,20.0
2020-11-11 05:50:42,Spreadsheet Utilities Browsers Email ,G,3,5,2.5,2020-11-11 05:50:42,140.0
2020-11-11 06:05:13,Utilities Shopping News,P,1,3,0.5,2020-11-11 06:05:13,113.0
2020-11-11 06:19:43,Search Shopping Social Utilities,N,2,4,1.3333333333333333,2020-11-11 06:19:43,90.0
2020-11-11 06:34:14,Utilities News Social,P,1,3,0.5,2020-11-11 06:34:14,14.0
2020-11-11 06:48:44,Utilities News Social,N,2,3,1.0,2020-11-11 06:48:44,63.0
2020-11-11 07:03:15,Calendar Email Utilities Utliities,G,3,4,2.0,2020-11-11 07:03:15,14.0
2020-11-11 07:17:46,Utilities Photos Music Social News ,N,2,6,2.0,2020-11-11 07:17:46,113.0
2020-11-11 07:32:16,News Shopping  Browsers Social ,N,2,6,2.0,2020-11-11 07:32:16,190.0
2020-11-11 07:46:47, Social News,P,1,3,0.5,2020-11-11 07:46:47,43.0
2020-11-11 08:01:17,Utilities Photos Music Social News ,N,2,6,2.0,2020-11-11 08:01:17,83.0
2020-11-11 08:15:48,Utilities News Social,N,2,3,1.0,2020-11-11 08:15:48,62.0
2020-11-11 08:30:19,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-11 08:30:19,45.0
2020-11-11 08:44:49,Utilities Photos Music Social News ,P,1,6,1.0,2020-11-11 08:44:49,6.0
2020-11-11 08:59:20,Search Shopping Social Utilities,N,2,4,1.3333333333333333,2020-11-11 08:59:20,122.0
2020-11-11 09:13:50,Calendar Email Utilities Utliities,G,3,4,2.0,2020-11-11 09:13:50,67.0
2020-11-11 09:28:21,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-11 09:28:21,152.0
2020-11-11 09:42:52,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-11 09:42:52,100.0
2020-11-11 09:57:22,Search Shopping Social Utilities,P,1,4,0.6666666666666666,2020-11-11 09:57:22,78.0
2020-11-11 10:11:53,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-11 10:11:53,341.0
2020-11-11 10:26:23,Spreadsheet Utilities Browsers Email ,G,3,5,2.5,2020-11-11 10:26:23,46.0
2020-11-11 10:40:54,Intelligence Email File Writing,G,3,4,2.0,2020-11-11 10:40:54,56.0
2020-11-11 10:55:25,Utilities News Social,N,2,3,1.0,2020-11-11 10:55:25,150.0
2020-11-11 11:09:55,Utilities Photos Music Social News ,N,2,6,2.0,2020-11-11 11:09:55,1.0
2020-11-11 11:24:26,News Shopping  Browsers Social ,P,1,6,1.0,2020-11-11 11:24:26,229.0
2020-11-11 11:38:56, Social News,N,2,3,1.0,2020-11-11 11:38:56,30.0
2020-11-11 11:53:27,Utilities Shopping News,P,1,3,0.5,2020-11-11 11:53:27,39.0
2020-11-11 12:07:58,Utilities News Social,N,2,3,1.0,2020-11-11 12:07:58,15.0
2020-11-11 12:22:28,Utilities Photos Music Social News ,P,1,6,1.0,2020-11-11 12:22:28,84.0
2020-11-11 12:36:59,Utilities Photos Music Social News ,P,1,6,1.0,2020-11-11 12:36:59,110.0
2020-11-11 12:51:29, Social News,P,1,3,0.5,2020-11-11 12:51:29,29.0
2020-11-11 13:06:00,Utilities News Social,P,1,3,0.5,2020-11-11 13:06:00,9.0
2020-11-11 13:20:31,Spreadsheet Utilities Browsers Email ,G,3,5,2.5,2020-11-11 13:20:31,86.0
2020-11-11 13:35:01, Social News,N,2,3,1.0,2020-11-11 13:35:01,150.0
2020-11-11 13:49:32,Utilities News Social,N,2,3,1.0,2020-11-11 13:49:32,14.0
2020-11-11 14:04:02,Search Shopping Social Utilities,P,1,4,0.6666666666666666,2020-11-11 14:04:02,93.0
2020-11-11 14:18:33,Utilities News Social,N,2,3,1.0,2020-11-11 14:18:33,95.0
2020-11-11 14:33:04,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-11 14:33:04,15.0
2020-11-11 14:47:34,Search Shopping Social Utilities,P,1,4,0.6666666666666666,2020-11-11 14:47:34,111.0
2020-11-11 15:02:05,Utilities News Social,P,1,3,0.5,2020-11-11 15:02:05,88.0
2020-11-11 15:16:35,Intelligence Email File Writing,G,3,4,2.0,2020-11-11 15:16:35,20.0
2020-11-11 15:31:06, Social News,N,2,3,1.0,2020-11-11 15:31:06,4.0
2020-11-11 15:45:37,Utilities Shopping News,P,1,3,0.5,2020-11-11 15:45:37,86.0
2020-11-11 16:00:07,Utilities News Social,N,2,3,1.0,2020-11-11 16:00:07,8.0
2020-11-11 16:14:38,News Shopping  Browsers Social ,P,1,6,1.0,2020-11-11 16:14:38,65.0
2020-11-11 16:29:08,Spreadsheet Utilities Browsers Email ,G,3,5,2.5,2020-11-11 16:29:08,222.0
2020-11-11 16:43:39,Intelligence Email File Writing,G,3,4,2.0,2020-11-11 16:43:39,53.0
2020-11-11 16:58:10, Social News,N,2,3,1.0,2020-11-11 16:58:10,101.0
2020-11-11 17:12:40,Search Shopping Social Utilities,N,2,4,1.3333333333333333,2020-11-11 17:12:40,35.0
2020-11-11 17:27:11,Calendar Email Utilities Utliities,G,3,4,2.0,2020-11-11 17:27:11,69.0
2020-11-11 17:41:41,Utilities News Social,P,1,3,0.5,2020-11-11 17:41:41,79.0
2020-11-11 17:56:12,Calendar Email Utilities Portal,G,3,4,2.0,2020-11-11 17:56:12,83.0
2020-11-11 18:10:43,Utilities Shopping News,N,2,3,1.0,2020-11-11 18:10:43,145.0
2020-11-11 18:25:13,Utilities News Social,N,2,3,1.0,2020-11-11 18:25:13,136.0
2020-11-11 18:39:44,Search Shopping Social Utilities,P,1,4,0.6666666666666666,2020-11-11 18:39:44,72.0
2020-11-11 18:54:14,News Shopping  Browsers Social ,N,2,6,2.0,2020-11-11 18:54:14,124.0
2020-11-11 19:08:45,Utilities Shopping News,N,2,3,1.0,2020-11-11 19:08:45,76.0
2020-11-11 19:23:16,Calendar Email Utilities Utliities,G,3,4,2.0,2020-11-11 19:23:16,193.0
2020-11-11 19:37:46,Utilities Shopping News,P,1,3,0.5,2020-11-11 19:37:46,26.0
2020-11-11 19:52:17,Utilities News Social,P,1,3,0.5,2020-11-11 19:52:17,4.0
2020-11-11 20:06:47,Intelligence Email File Writing,G,3,4,2.0,2020-11-11 20:06:47,69.0
2020-11-11 20:21:18,Calendar Email Utilities Utliities,G,3,4,2.0,2020-11-11 20:21:18,90.0
2020-11-11 20:35:49,Utilities News Social,N,2,3,1.0,2020-11-11 20:35:49,14.0
2020-11-11 20:50:19,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-11 20:50:19,193.0
2020-11-11 21:04:50,Utilities Shopping News,P,1,3,0.5,2020-11-11 21:04:50,64.0
2020-11-11 21:19:20,Message NMU Portal Email Writing,G,3,5,2.5,2020-11-11 21:19:20,80.0
2020-11-11 21:33:51,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-11 21:33:51,91.0
2020-11-11 21:48:22,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-11 21:48:22,97.0
2020-11-11 22:02:52,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-11 22:02:52,202.0
2020-11-11 22:17:23,News Shopping  Browsers Social ,P,1,6,1.0,2020-11-11 22:17:23,98.0
2020-11-11 22:31:53,Search Shopping Social Utilities,N,2,4,1.3333333333333333,2020-11-11 22:31:53,40.0
2020-11-11 22:46:24, Social News,N,2,3,1.0,2020-11-11 22:46:24,61.0
2020-11-11 23:00:55,Utilities News Social,N,2,3,1.0,2020-11-11 23:00:55,95.0
2020-11-11 23:15:25,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-11 23:15:25,2.0
2020-11-11 23:29:56, Social News,P,1,3,0.5,2020-11-11 23:29:56,80.0
2020-11-11 23:44:26, Social News,P,1,3,0.5,2020-11-11 23:44:26,0.0
2020-11-11 23:58:57,Utilities Photos Music Social News ,P,1,6,1.0,2020-11-11 23:58:57,62.0
2020-11-12 00:13:28, Social News,N,2,3,1.0,2020-11-12 00:13:28,63.0
2020-11-12 00:27:58,Utilities News Social,P,1,3,0.5,2020-11-12 00:27:58,203.0
2020-11-12 00:42:29,Utilities Shopping News,P,1,3,0.5,2020-11-12 00:42:29,131.0
2020-11-12 00:56:59,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-12 00:56:59,31.0
2020-11-12 01:11:30,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-12 01:11:30,86.0
2020-11-12 01:26:01,Utilities Photos Music Social News ,N,2,6,2.0,2020-11-12 01:26:01,72.0
2020-11-12 01:40:31,Spreadsheet Utilities Browsers Email ,G,3,5,2.5,2020-11-12 01:40:31,44.0
2020-11-12 01:55:02, Social News,N,2,3,1.0,2020-11-12 01:55:02,172.0
2020-11-12 02:09:32,Utilities News Social,P,1,3,0.5,2020-11-12 02:09:32,143.0
2020-11-12 02:24:03,Utilities Shopping News,P,1,3,0.5,2020-11-12 02:24:03,142.0
2020-11-12 02:38:34,Search Shopping Social Utilities,P,1,4,0.6666666666666666,2020-11-12 02:38:34,70.0
2020-11-12 02:53:04,Utilities Shopping News,N,2,3,1.0,2020-11-12 02:53:04,181.0
2020-11-12 03:07:35,Message NMU Portal Email Writing,G,3,5,2.5,2020-11-12 03:07:35,134.0
2020-11-12 03:22:05,Search Shopping Social Utilities,P,1,4,0.6666666666666666,2020-11-12 03:22:05,47.0
2020-11-12 03:36:36,Utilities Photos Music Social News ,N,2,6,2.0,2020-11-12 03:36:36,67.0
2020-11-12 03:51:07,Message NMU Portal Email Writing,G,3,5,2.5,2020-11-12 03:51:07,89.0
2020-11-12 04:05:37,Message NMU Portal Email Writing,G,3,5,2.5,2020-11-12 04:05:37,61.0
2020-11-12 04:20:08,Search Shopping Social Utilities,P,1,4,0.6666666666666666,2020-11-12 04:20:08,43.0
2020-11-12 04:34:38,Search Shopping Social Utilities,N,2,4,1.3333333333333333,2020-11-12 04:34:38,29.0
2020-11-12 04:49:09,Search Shopping Social Utilities,P,1,4,0.6666666666666666,2020-11-12 04:49:09,164.0
2020-11-12 05:03:40,Message NMU Portal Email Writing,G,3,5,2.5,2020-11-12 05:03:40,112.0
2020-11-12 05:18:10,Search Shopping Social Utilities,P,1,4,0.6666666666666666,2020-11-12 05:18:10,180.0
2020-11-12 05:32:41,Utilities Photos Music Social News ,N,2,6,2.0,2020-11-12 05:32:41,120.0
2020-11-12 05:47:11,Calendar Email Utilities Utliities,G,3,4,2.0,2020-11-12 05:47:11,117.0
2020-11-12 06:01:42,Search Shopping Social Utilities,N,2,4,1.3333333333333333,2020-11-12 06:01:42,28.0
2020-11-12 06:16:13,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-12 06:16:13,53.0
2020-11-12 06:30:43,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-12 06:30:43,49.0
2020-11-12 06:45:14,Utilities Shopping News,N,2,3,1.0,2020-11-12 06:45:14,45.0
2020-11-12 06:59:44,News Shopping  Browsers Social ,P,1,6,1.0,2020-11-12 06:59:44,71.0
2020-11-12 07:14:15,Utilities Photos Music Social News ,N,2,6,2.0,2020-11-12 07:14:15,83.0
2020-11-12 07:28:46,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-12 07:28:46,0.0
2020-11-12 07:43:16,Utilities Shopping News,N,2,3,1.0,2020-11-12 07:43:16,30.0
2020-11-12 07:57:47,Intelligence Email File Writing,G,3,4,2.0,2020-11-12 07:57:47,113.0
2020-11-12 08:12:17,Utilities News Social,P,1,3,0.5,2020-11-12 08:12:17,61.0
2020-11-12 08:26:48,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-12 08:26:48,108.0
2020-11-12 08:41:19,Utilities Shopping News,P,1,3,0.5,2020-11-12 08:41:19,45.0
2020-11-12 08:55:49, Social News,P,1,3,0.5,2020-11-12 08:55:49,20.0
2020-11-12 09:10:20,Utilities Shopping News,N,2,3,1.0,2020-11-12 09:10:20,96.0
2020-11-12 09:24:50,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-12 09:24:50,52.0
2020-11-12 09:39:21,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-12 09:39:21,118.0
2020-11-12 09:53:52, Social News,P,1,3,0.5,2020-11-12 09:53:52,104.0
2020-11-12 10:08:22,Utilities News Social,P,1,3,0.5,2020-11-12 10:08:22,57.0
2020-11-12 10:22:53,Utilities News Social,N,2,3,1.0,2020-11-12 10:22:53,28.0
2020-11-12 10:37:23,Spreadsheet Utilities Browsers Email ,G,3,5,2.5,2020-11-12 10:37:23,71.0
2020-11-12 10:51:54, Social News,N,2,3,1.0,2020-11-12 10:51:54,35.0
2020-11-12 11:06:25,Message NMU Portal Email Writing,G,3,5,2.5,2020-11-12 11:06:25,78.0
2020-11-12 11:20:55,Message NMU Portal Email Writing,G,3,5,2.5,2020-11-12 11:20:55,16.0
2020-11-12 11:35:26, Social News,N,2,3,1.0,2020-11-12 11:35:26,69.0
2020-11-12 11:49:56,Spreadsheet Utilities Browsers Email ,G,3,5,2.5,2020-11-12 11:49:56,71.0
2020-11-12 12:04:27,Utilities Shopping News,N,2,3,1.0,2020-11-12 12:04:27,33.0
2020-11-12 12:18:58,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-12 12:18:58,103.0
2020-11-12 12:33:28,Message NMU Portal Email Writing,G,3,5,2.5,2020-11-12 12:33:28,0.0
2020-11-12 12:47:59,Utilities Photos Music Social News ,N,2,6,2.0,2020-11-12 12:47:59,1.0
2020-11-12 13:02:29, Social News,P,1,3,0.5,2020-11-12 13:02:29,4.0
2020-11-12 13:17:00, Social News,P,1,3,0.5,2020-11-12 13:17:00,85.0
2020-11-12 13:31:31,Message NMU Portal Email Writing,G,3,5,2.5,2020-11-12 13:31:31,118.0
2020-11-12 13:46:01,Utilities Photos Music Social News ,N,2,6,2.0,2020-11-12 13:46:01,61.0
2020-11-12 14:00:32,Intelligence Email File Writing,G,3,4,2.0,2020-11-12 14:00:32,77.0
2020-11-12 14:15:02,News Shopping  Browsers Social ,P,1,6,1.0,2020-11-12 14:15:02,260.0
2020-11-12 14:29:33,Utilities Shopping News,P,1,3,0.5,2020-11-12 14:29:33,7.0
2020-11-12 14:44:04,News Shopping  Browsers Social ,N,2,6,2.0,2020-11-12 14:44:04,18.0
2020-11-12 14:58:34,Utilities News Social,P,1,3,0.5,2020-11-12 14:58:34,142.0
2020-11-12 15:13:05, Social News,P,1,3,0.5,2020-11-12 15:13:05,85.0
2020-11-12 15:27:35,Spreadsheet Utilities Browsers Email ,G,3,5,2.5,2020-11-12 15:27:35,84.0
2020-11-12 15:42:06,Utilities News Social,N,2,3,1.0,2020-11-12 15:42:06,20.0
2020-11-12 15:56:37, Social News,P,1,3,0.5,2020-11-12 15:56:37,184.0
2020-11-12 16:11:07,Utilities News Social,N,2,3,1.0,2020-11-12 16:11:07,129.0
2020-11-12 16:25:38,Message NMU Portal Email Writing,G,3,5,2.5,2020-11-12 16:25:38,52.0
2020-11-12 16:40:08,Utilities News Social,P,1,3,0.5,2020-11-12 16:40:08,52.0
2020-11-12 16:54:39, Social News,P,1,3,0.5,2020-11-12 16:54:39,16.0
2020-11-12 17:09:10,Utilities News Social,N,2,3,1.0,2020-11-12 17:09:10,69.0
2020-11-12 17:23:40,Utilities News Social,P,1,3,0.5,2020-11-12 17:23:40,114.0
2020-11-12 17:38:11,News Shopping  Browsers Social ,P,1,6,1.0,2020-11-12 17:38:11,35.0
2020-11-12 17:52:41,News Shopping  Browsers Social ,P,1,6,1.0,2020-11-12 17:52:41,140.0
2020-11-12 18:07:12,News Shopping  Browsers Social ,N,2,6,2.0,2020-11-12 18:07:12,43.0
2020-11-12 18:21:43,Message NMU Portal Email Writing,G,3,5,2.5,2020-11-12 18:21:43,59.0
2020-11-12 18:36:13,Utilities News Social,N,2,3,1.0,2020-11-12 18:36:13,7.0
2020-11-12 18:50:44,News Shopping  Browsers Social ,P,1,6,1.0,2020-11-12 18:50:44,53.0
2020-11-12 19:05:14,Intelligence Email File Writing,G,3,4,2.0,2020-11-12 19:05:14,5.0
2020-11-12 19:19:45,Calendar Email Utilities Portal,G,3,4,2.0,2020-11-12 19:19:45,83.0
2020-11-12 19:34:16, Social News,N,2,3,1.0,2020-11-12 19:34:16,173.0
2020-11-12 19:48:46,Utilities Shopping News,P,1,3,0.5,2020-11-12 19:48:46,71.0
2020-11-12 20:03:17,Utilities News Social,P,1,3,0.5,2020-11-12 20:03:17,63.0
2020-11-12 20:17:47,Utilities News Social,N,2,3,1.0,2020-11-12 20:17:47,77.0
2020-11-12 20:32:18,Utilities News Social,P,1,3,0.5,2020-11-12 20:32:18,74.0
2020-11-12 20:46:49,Calendar Email Utilities Utliities,G,3,4,2.0,2020-11-12 20:46:49,221.0
2020-11-12 21:01:19,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-12 21:01:19,166.0
2020-11-12 21:15:50,Intelligence Email File Writing,G,3,4,2.0,2020-11-12 21:15:50,135.0
2020-11-12 21:30:20,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-12 21:30:20,10.0
2020-11-12 21:44:51, Social News,N,2,3,1.0,2020-11-12 21:44:51,21.0
2020-11-12 21:59:22,Utilities News Social,P,1,3,0.5,2020-11-12 21:59:22,2.0
2020-11-12 22:13:52,Utilities Shopping News,P,1,3,0.5,2020-11-12 22:13:52,179.0
2020-11-12 22:28:23, Social News,P,1,3,0.5,2020-11-12 22:28:23,117.0
2020-11-12 22:42:53,Search Shopping Social Utilities,N,2,4,1.3333333333333333,2020-11-12 22:42:53,76.0
2020-11-12 22:57:24,Utilities Shopping News,P,1,3,0.5,2020-11-12 22:57:24,111.0
2020-11-12 23:11:55,Utilities Shopping News,P,1,3,0.5,2020-11-12 23:11:55,141.0
2020-11-12 23:26:25,Utilities Shopping News,N,2,3,1.0,2020-11-12 23:26:25,79.0
2020-11-12 23:40:56, Social News,N,2,3,1.0,2020-11-12 23:40:56,117.0
2020-11-12 23:55:26,Search Shopping Social Utilities,N,2,4,1.3333333333333333,2020-11-12 23:55:26,6.0
2020-11-13 00:09:57,News Shopping  Browsers Social ,P,1,6,1.0,2020-11-13 00:09:57,30.0
2020-11-13 00:24:28, Social News,P,1,3,0.5,2020-11-13 00:24:28,31.0
2020-11-13 00:38:58,Utilities Shopping News,P,1,3,0.5,2020-11-13 00:38:58,33.0
2020-11-13 00:53:29,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-13 00:53:29,32.0
2020-11-13 01:07:59,Intelligence Email File Writing,G,3,4,2.0,2020-11-13 01:07:59,135.0
2020-11-13 01:22:30,News Shopping  Browsers Social ,N,2,6,2.0,2020-11-13 01:22:30,87.0
2020-11-13 01:37:01,Utilities Shopping News,N,2,3,1.0,2020-11-13 01:37:01,69.0
2020-11-13 01:51:31,Utilities News Social,N,2,3,1.0,2020-11-13 01:51:31,122.0
2020-11-13 02:06:02,Utilities News Social,P,1,3,0.5,2020-11-13 02:06:02,15.0
2020-11-13 02:20:32,Utilities News Social,P,1,3,0.5,2020-11-13 02:20:32,54.0
2020-11-13 02:35:03,Utilities Shopping News,N,2,3,1.0,2020-11-13 02:35:03,100.0
2020-11-13 02:49:34,Utilities Shopping News,P,1,3,0.5,2020-11-13 02:49:34,8.0
2020-11-13 03:04:04,Utilities Shopping News,P,1,3,0.5,2020-11-13 03:04:04,11.0
2020-11-13 03:18:35,Utilities News Social,P,1,3,0.5,2020-11-13 03:18:35,6.0
2020-11-13 03:33:05,Utilities News Social,N,2,3,1.0,2020-11-13 03:33:05,7.0
2020-11-13 03:47:36,Utilities News Social,N,2,3,1.0,2020-11-13 03:47:36,40.0
2020-11-13 04:02:07,Spreadsheet Utilities Browsers Email ,G,3,5,2.5,2020-11-13 04:02:07,148.0
2020-11-13 04:16:37,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-13 04:16:37,2.0
2020-11-13 04:31:08,Message NMU Portal Email Writing,G,3,5,2.5,2020-11-13 04:31:08,177.0
2020-11-13 04:45:38,Presentation Meeting Email Project Email Utilities,G,3,6,3.0,2020-11-13 04:45:38,176.0
2020-11-13 05:00:09,Utilities News Social,N,2,3,1.0,2020-11-13 05:00:09,35.0
2020-11-13 05:14:40,Calendar Email Utilities Utliities,G,3,4,2.0,2020-11-13 05:14:40,51.0
2020-11-13 05:29:10, Social News,N,2,3,1.0,2020-11-13 05:29:10,68.0
