start_timestamp,sequence,cat,class_product,size,class_weight,seconds
2020-11-11 06:05:13,Utilities Shopping News,P,1,3,0.5,113
2020-11-11 06:19:43,Search Shopping Social Utilities,N,2,4,1.333333333,90
2020-11-11 06:34:14,Utilities News Social,P,1,3,0.5,14
2020-11-11 06:48:44,Utilities News Social,N,2,3,1,63
2020-11-11 07:03:15,Calendar Email Utilities Utliities,G,3,4,2,14
2020-11-11 07:17:46,Utilities Photos Music Social News,N,2,6,2,113
2020-11-11 07:32:16,News Shopping  Browsers Social,N,2,6,2,190
2020-11-11 07:46:47,Social News,P,1,3,0.5,43
2020-11-11 08:01:17,Utilities Photos Music Social News,N,2,6,2,83
2020-11-11 08:15:48,Utilities News Social,N,2,3,1,62
2020-11-11 08:30:19,Presentation Meeting Email Project Email Utilities,G,3,6,3,45
2020-11-11 08:44:49,Utilities Photos Music Social News,P,1,6,1,6
2020-11-11 08:59:20,Search Shopping Social Utilities,N,2,4,1.333333333,122
2020-11-11 09:13:50,Calendar Email Utilities Utliities,G,3,4,2,67
2020-11-11 09:28:21,Presentation Meeting Email Project Email Utilities,G,3,6,3,152
2020-11-11 09:42:52,Presentation Meeting Email Project Email Utilities,G,3,6,3,100
2020-11-11 09:57:22,Search Shopping Social Utilities,P,1,4,0.6666666667,78
2020-11-11 10:11:53,Presentation Meeting Email Project Email Utilities,G,3,6,3,341
2020-11-11 10:26:23,Spreadsheet Utilities Browsers Email,G,3,5,2.5,46
2020-11-11 10:40:54,Intelligence Email File Writing,G,3,4,2,56
2020-11-11 10:55:25,Utilities News Social,N,2,3,1,150
2020-11-11 11:09:55,Utilities Photos Music Social News,N,2,6,2,1
2020-11-11 11:24:26,News Shopping  Browsers Social,P,1,6,1,229
2020-11-11 11:38:56,Social News,N,2,3,1,30
2020-11-11 11:53:27,Utilities Shopping News,P,1,3,0.5,39
2020-11-11 12:07:58,Utilities News Social,N,2,3,1,15
2020-11-11 12:22:28,Utilities Photos Music Social News,P,1,6,1,84
2020-11-11 12:36:59,Utilities Photos Music Social News,P,1,6,1,110
2020-11-11 12:51:29,Social News,P,1,3,0.5,29
2020-11-11 13:06:00,Utilities News Social,P,1,3,0.5,9
2020-11-11 13:20:31,Spreadsheet Utilities Browsers Email,G,3,5,2.5,86
2020-11-11 13:35:01,Social News,N,2,3,1,150
2020-11-11 13:49:32,Utilities News Social,N,2,3,1,14
2020-11-11 14:04:02,Search Shopping Social Utilities,P,1,4,0.6666666667,93
2020-11-11 14:18:33,Utilities News Social,N,2,3,1,95
2020-11-11 14:33:04,Presentation Meeting Email Project Email Utilities,G,3,6,3,15
2020-11-11 14:47:34,Search Shopping Social Utilities,P,1,4,0.6666666667,111
2020-11-11 15:02:05,Utilities News Social,P,1,3,0.5,88
2020-11-11 15:16:35,Intelligence Email File Writing,G,3,4,2,20
2020-11-11 15:31:06,Social News,N,2,3,1,4
2020-11-11 15:45:37,Utilities Shopping News,P,1,3,0.5,86
2020-11-11 16:00:07,Utilities News Social,N,2,3,1,8
2020-11-11 16:14:38,News Shopping  Browsers Social,P,1,6,1,65
2020-11-11 16:29:08,Spreadsheet Utilities Browsers Email,G,3,5,2.5,222
2020-11-11 16:43:39,Intelligence Email File Writing,G,3,4,2,53
2020-11-11 16:58:10,Social News,N,2,3,1,101
2020-11-11 17:12:40,Search Shopping Social Utilities,N,2,4,1.333333333,35
2020-11-11 17:27:11,Calendar Email Utilities Utliities,G,3,4,2,69
2020-11-11 17:41:41,Utilities News Social,P,1,3,0.5,79
2020-11-11 17:56:12,Calendar Email Utilities Portal,G,3,4,2,83
2020-11-11 18:10:43,Utilities Shopping News,N,2,3,1,145
2020-11-11 18:25:13,Utilities News Social,N,2,3,1,136
2020-11-11 18:39:44,Search Shopping Social Utilities,P,1,4,0.6666666667,72
2020-11-11 18:54:14,News Shopping  Browsers Social,N,2,6,2,124
2020-11-11 19:08:45,Utilities Shopping News,N,2,3,1,76
2020-11-11 19:23:16,Calendar Email Utilities Utliities,G,3,4,2,193
2020-11-11 19:37:46,Utilities Shopping News,P,1,3,0.5,26
2020-11-11 19:52:17,Utilities News Social,P,1,3,0.5,4
2020-11-11 20:06:47,Intelligence Email File Writing,G,3,4,2,69
2020-11-11 20:21:18,Calendar Email Utilities Utliities,G,3,4,2,90
2020-11-11 20:35:49,Utilities News Social,N,2,3,1,14
2020-11-11 20:50:19,Presentation Meeting Email Project Email Utilities,G,3,6,3,193
2020-11-11 21:04:50,Utilities Shopping News,P,1,3,0.5,64
2020-11-11 21:19:20,Message NMU Portal Email Writing,G,3,5,2.5,80
2020-11-11 21:33:51,Presentation Meeting Email Project Email Utilities,G,3,6,3,91
2020-11-11 21:48:22,Presentation Meeting Email Project Email Utilities,G,3,6,3,97
2020-11-11 22:02:52,Presentation Meeting Email Project Email Utilities,G,3,6,3,202
2020-11-11 22:17:23,News Shopping  Browsers Social,P,1,6,1,98
2020-11-11 22:31:53,Search Shopping Social Utilities,N,2,4,1.333333333,40
2020-11-11 22:46:24,Social News,N,2,3,1,61
2020-11-11 23:00:55,Utilities News Social,N,2,3,1,95
2020-11-11 23:15:25,Presentation Meeting Email Project Email Utilities,G,3,6,3,2
2020-11-11 23:29:56,Social News,P,1,3,0.5,80
2020-11-11 23:44:26,Social News,P,1,3,0.5,0
2020-11-11 23:58:57,Utilities Photos Music Social News,P,1,6,1,62
2020-11-12 00:13:28,Social News,N,2,3,1,63
2020-11-12 00:27:58,Utilities News Social,P,1,3,0.5,203
2020-11-12 00:42:29,Utilities Shopping News,P,1,3,0.5,131
2020-11-12 00:56:59,Presentation Meeting Email Project Email Utilities,G,3,6,3,31
2020-11-12 01:11:30,Presentation Meeting Email Project Email Utilities,G,3,6,3,86
2020-11-12 01:26:01,Utilities Photos Music Social News,N,2,6,2,72
2020-11-12 01:40:31,Spreadsheet Utilities Browsers Email,G,3,5,2.5,44
2020-11-12 01:55:02,Social News,N,2,3,1,172
2020-11-12 02:09:32,Utilities News Social,P,1,3,0.5,143
2020-11-12 02:24:03,Utilities Shopping News,P,1,3,0.5,142
2020-11-12 02:38:34,Search Shopping Social Utilities,P,1,4,0.6666666667,70
2020-11-12 02:53:04,Utilities Shopping News,N,2,3,1,181
2020-11-12 03:07:35,Message NMU Portal Email Writing,G,3,5,2.5,134
2020-11-12 03:22:05,Search Shopping Social Utilities,P,1,4,0.6666666667,47
2020-11-12 03:36:36,Utilities Photos Music Social News,N,2,6,2,67
2020-11-12 03:51:07,Message NMU Portal Email Writing,G,3,5,2.5,89
2020-11-12 04:05:37,Message NMU Portal Email Writing,G,3,5,2.5,61
2020-11-12 04:20:08,Search Shopping Social Utilities,P,1,4,0.6666666667,43
2020-11-12 04:34:38,Search Shopping Social Utilities,N,2,4,1.333333333,29
2020-11-12 04:49:09,Search Shopping Social Utilities,P,1,4,0.6666666667,164
2020-11-12 05:03:40,Message NMU Portal Email Writing,G,3,5,2.5,112
2020-11-12 05:18:10,Search Shopping Social Utilities,P,1,4,0.6666666667,180
2020-11-12 05:32:41,Utilities Photos Music Social News,N,2,6,2,120
2020-11-12 05:47:11,Calendar Email Utilities Utliities,G,3,4,2,117
2020-11-12 06:01:42,Search Shopping Social Utilities,N,2,4,1.333333333,28
2020-11-12 06:16:13,Presentation Meeting Email Project Email Utilities,G,3,6,3,53
2020-11-12 06:30:43,Presentation Meeting Email Project Email Utilities,G,3,6,3,49
2020-11-12 06:45:14,Utilities Shopping News,N,2,3,1,45
2020-11-12 06:59:44,News Shopping  Browsers Social,P,1,6,1,71
2020-11-12 07:14:15,Utilities Photos Music Social News,N,2,6,2,83
2020-11-12 07:28:46,Presentation Meeting Email Project Email Utilities,G,3,6,3,0
2020-11-12 07:43:16,Utilities Shopping News,N,2,3,1,30
2020-11-12 07:57:47,Intelligence Email File Writing,G,3,4,2,113
2020-11-12 08:12:17,Utilities News Social,P,1,3,0.5,61
2020-11-12 08:26:48,Presentation Meeting Email Project Email Utilities,G,3,6,3,108
2020-11-12 08:41:19,Utilities Shopping News,P,1,3,0.5,45
2020-11-12 08:55:49,Social News,P,1,3,0.5,20
2020-11-12 09:10:20,Utilities Shopping News,N,2,3,1,96
2020-11-12 09:24:50,Presentation Meeting Email Project Email Utilities,G,3,6,3,52
2020-11-12 09:39:21,Presentation Meeting Email Project Email Utilities,G,3,6,3,118
2020-11-12 09:53:52,Social News,P,1,3,0.5,104
2020-11-12 10:08:22,Utilities News Social,P,1,3,0.5,57
2020-11-12 10:22:53,Utilities News Social,N,2,3,1,28
2020-11-12 10:37:23,Spreadsheet Utilities Browsers Email,G,3,5,2.5,71
2020-11-12 10:51:54,Social News,N,2,3,1,35
2020-11-12 11:06:25,Message NMU Portal Email Writing,G,3,5,2.5,78
2020-11-12 11:20:55,Message NMU Portal Email Writing,G,3,5,2.5,16
2020-11-12 11:35:26,Social News,N,2,3,1,69
2020-11-12 11:49:56,Spreadsheet Utilities Browsers Email,G,3,5,2.5,71
2020-11-12 12:04:27,Utilities Shopping News,N,2,3,1,33
2020-11-12 12:18:58,Presentation Meeting Email Project Email Utilities,G,3,6,3,103
2020-11-12 12:33:28,Message NMU Portal Email Writing,G,3,5,2.5,0
2020-11-12 12:47:59,Utilities Photos Music Social News,N,2,6,2,1
2020-11-12 13:02:29,Social News,P,1,3,0.5,4
2020-11-12 13:17:00,Social News,P,1,3,0.5,85
2020-11-12 13:31:31,Message NMU Portal Email Writing,G,3,5,2.5,118
2020-11-12 13:46:01,Utilities Photos Music Social News,N,2,6,2,61
2020-11-12 14:00:32,Intelligence Email File Writing,G,3,4,2,77
2020-11-12 14:15:02,News Shopping  Browsers Social,P,1,6,1,260
2020-11-12 14:29:33,Utilities Shopping News,P,1,3,0.5,7
2020-11-12 14:44:04,News Shopping  Browsers Social,N,2,6,2,18
2020-11-12 14:58:34,Utilities News Social,P,1,3,0.5,142
2020-11-12 15:13:05,Social News,P,1,3,0.5,85
2020-11-12 15:27:35,Spreadsheet Utilities Browsers Email,G,3,5,2.5,84
2020-11-12 15:42:06,Utilities News Social,N,2,3,1,20
2020-11-12 15:56:37,Social News,P,1,3,0.5,184
2020-11-12 16:11:07,Utilities News Social,N,2,3,1,129
2020-11-12 16:25:38,Message NMU Portal Email Writing,G,3,5,2.5,52
2020-11-12 16:40:08,Utilities News Social,P,1,3,0.5,52
2020-11-12 16:54:39,Social News,P,1,3,0.5,16
2020-11-12 17:09:10,Utilities News Social,N,2,3,1,69
2020-11-12 17:23:40,Utilities News Social,P,1,3,0.5,114
2020-11-12 17:38:11,News Shopping  Browsers Social,P,1,6,1,35
2020-11-12 17:52:41,News Shopping  Browsers Social,P,1,6,1,140
2020-11-12 18:07:12,News Shopping  Browsers Social,N,2,6,2,43
2020-11-12 18:21:43,Message NMU Portal Email Writing,G,3,5,2.5,59
2020-11-12 18:36:13,Utilities News Social,N,2,3,1,7
2020-11-12 18:50:44,News Shopping  Browsers Social,P,1,6,1,53
2020-11-12 19:05:14,Intelligence Email File Writing,G,3,4,2,5
2020-11-12 19:19:45,Calendar Email Utilities Portal,G,3,4,2,83
2020-11-12 19:34:16,Social News,N,2,3,1,173
2020-11-12 19:48:46,Utilities Shopping News,P,1,3,0.5,71
2020-11-12 20:03:17,Utilities News Social,P,1,3,0.5,63
2020-11-12 20:17:47,Utilities News Social,N,2,3,1,77
2020-11-12 20:32:18,Utilities News Social,P,1,3,0.5,74
2020-11-12 20:46:49,Calendar Email Utilities Utliities,G,3,4,2,221
2020-11-12 21:01:19,Presentation Meeting Email Project Email Utilities,G,3,6,3,166
2020-11-12 21:15:50,Intelligence Email File Writing,G,3,4,2,135
2020-11-12 21:30:20,Presentation Meeting Email Project Email Utilities,G,3,6,3,10
2020-11-12 21:44:51,Social News,N,2,3,1,21
2020-11-12 21:59:22,Utilities News Social,P,1,3,0.5,2
2020-11-12 22:13:52,Utilities Shopping News,P,1,3,0.5,179
2020-11-12 22:28:23,Social News,P,1,3,0.5,117
2020-11-12 22:42:53,Search Shopping Social Utilities,N,2,4,1.333333333,76
2020-11-12 22:57:24,Utilities Shopping News,P,1,3,0.5,111
2020-11-12 23:11:55,Utilities Shopping News,P,1,3,0.5,141
2020-11-12 23:26:25,Utilities Shopping News,N,2,3,1,79
2020-11-12 23:40:56,Social News,N,2,3,1,117
2020-11-12 23:55:26,Search Shopping Social Utilities,N,2,4,1.333333333,6
2020-11-13 00:09:57,News Shopping  Browsers Social,P,1,6,1,30
2020-11-13 00:24:28,Social News,P,1,3,0.5,31
2020-11-13 00:38:58,Utilities Shopping News,P,1,3,0.5,33
2020-11-13 00:53:29,Presentation Meeting Email Project Email Utilities,G,3,6,3,32
2020-11-13 01:07:59,Intelligence Email File Writing,G,3,4,2,135
2020-11-13 01:22:30,News Shopping  Browsers Social,N,2,6,2,87
2020-11-13 01:37:01,Utilities Shopping News,N,2,3,1,69
2020-11-13 01:51:31,Utilities News Social,N,2,3,1,122
2020-11-13 02:06:02,Utilities News Social,P,1,3,0.5,15
2020-11-13 02:20:32,Utilities News Social,P,1,3,0.5,54
2020-11-13 02:35:03,Utilities Shopping News,N,2,3,1,100
2020-11-13 02:49:34,Utilities Shopping News,P,1,3,0.5,8
2020-11-13 03:04:04,Utilities Shopping News,P,1,3,0.5,11
2020-11-13 03:18:35,Utilities News Social,P,1,3,0.5,6
2020-11-13 03:33:05,Utilities News Social,N,2,3,1,7
2020-11-13 03:47:36,Utilities News Social,N,2,3,1,40
2020-11-13 04:02:07,Spreadsheet Utilities Browsers Email,G,3,5,2.5,148
2020-11-13 04:16:37,Presentation Meeting Email Project Email Utilities,G,3,6,3,2
2020-11-13 04:31:08,Message NMU Portal Email Writing,G,3,5,2.5,177
2020-11-13 04:45:38,Presentation Meeting Email Project Email Utilities,G,3,6,3,176
2020-11-13 05:00:09,Utilities News Social,N,2,3,1,35
2020-11-13 05:14:40,Calendar Email Utilities Utliities,G,3,4,2,51
2020-11-13 05:29:10,Social News,N,2,3,1,68
2020-11-13 05:43:41,Spreadsheet Utilities Browsers Email,G,3,5,2.5,63
2020-11-13 05:58:11,Calendar Email Utilities Portal,G,3,4,2,78
2020-11-13 06:12:42,Utilities Photos Music Social News,P,1,6,1,58
2020-11-13 06:27:13,Utilities News Social,N,2,3,1,162
2020-11-13 06:41:43,Utilities Photos Music Social News,N,2,6,2,154
2020-11-13 06:56:14,Presentation Meeting Email Project Email Utilities,G,3,6,3,184
2020-11-13 07:10:44,Search Shopping Social Utilities,N,2,4,1.333333333,48
2020-11-13 07:25:15,Utilities Photos Music Social News,P,1,6,1,43
2020-11-13 07:39:46,News Shopping  Browsers Social,N,2,6,2,171
2020-11-13 07:54:16,Utilities Shopping News,P,1,3,0.5,4
2020-11-13 08:08:47,Calendar Email Utilities Portal,G,3,4,2,11
2020-11-13 08:23:17,Message NMU Portal Email Writing,G,3,5,2.5,43
2020-11-13 08:37:48,Utilities News Social,N,2,3,1,44
2020-11-13 08:52:19,Utilities News Social,N,2,3,1,32
2020-11-13 09:06:49,Utilities News Social,N,2,3,1,43
2020-11-13 09:21:20,Utilities News Social,N,2,3,1,136
2020-11-13 09:35:50,Search Shopping Social Utilities,N,2,4,1.333333333,60
2020-11-13 09:50:21,Utilities News Social,N,2,3,1,1
2020-11-13 10:04:52,Utilities Shopping News,P,1,3,0.5,63
2020-11-13 10:19:22,Utilities News Social,P,1,3,0.5,9
2020-11-13 10:33:53,Utilities News Social,P,1,3,0.5,158
2020-11-13 10:48:23,Presentation Meeting Email Project Email Utilities,G,3,6,3,35
2020-11-13 11:02:54,Utilities News Social,P,1,3,0.5,60
2020-11-13 11:17:25,Utilities News Social,P,1,3,0.5,172
2020-11-13 11:31:55,Calendar Email Utilities Utliities,G,3,4,2,146
2020-11-13 11:46:26,Utilities Shopping News,N,2,3,1,263
2020-11-13 12:00:56,Calendar Email Utilities Portal,G,3,4,2,58
2020-11-13 12:15:27,Utilities News Social,P,1,3,0.5,40
2020-11-13 12:29:58,Intelligence Email File Writing,G,3,4,2,40
2020-11-13 12:44:28,Social News,N,2,3,1,48
2020-11-13 12:58:59,Message NMU Portal Email Writing,G,3,5,2.5,7
2020-11-13 13:13:29,Utilities Shopping News,P,1,3,0.5,0
2020-11-13 13:28:00,Message NMU Portal Email Writing,G,3,5,2.5,29
2020-11-13 13:42:31,Utilities News Social,N,2,3,1,7
2020-11-13 13:57:01,Message NMU Portal Email Writing,G,3,5,2.5,144
2020-11-13 14:11:32,Social News,N,2,3,1,111
2020-11-13 14:26:02,Intelligence Email File Writing,G,3,4,2,16
2020-11-13 14:40:33,Calendar Email Utilities Utliities,G,3,4,2,28
2020-11-13 14:55:04,Utilities Shopping News,N,2,3,1,106
2020-11-13 15:09:34,News Shopping  Browsers Social,N,2,6,2,80
2020-11-13 15:24:05,Social News,P,1,3,0.5,116
2020-11-13 15:38:35,Message NMU Portal Email Writing,G,3,5,2.5,155
2020-11-13 15:53:06,News Shopping  Browsers Social,N,2,6,2,57
2020-11-13 16:07:37,Social News,N,2,3,1,3
2020-11-13 16:22:07,Calendar Email Utilities Portal,G,3,4,2,2
2020-11-13 16:36:38,Intelligence Email File Writing,G,3,4,2,73
2020-11-13 16:51:08,Utilities News Social,P,1,3,0.5,29
2020-11-13 17:05:39,Presentation Meeting Email Project Email Utilities,G,3,6,3,28
2020-11-13 17:20:10,Social News,P,1,3,0.5,126
2020-11-13 17:34:40,Intelligence Email File Writing,G,3,4,2,61
2020-11-13 17:49:11,Utilities News Social,P,1,3,0.5,3
2020-11-13 18:03:41,Utilities Shopping News,P,1,3,0.5,8
2020-11-13 18:18:12,Social News,N,2,3,1,27
2020-11-13 18:32:43,News Shopping  Browsers Social,P,1,6,1,38
2020-11-13 18:47:13,Utilities News Social,P,1,3,0.5,103
2020-11-13 19:01:44,News Shopping  Browsers Social,P,1,6,1,76
2020-11-13 19:16:14,Social News,P,1,3,0.5,28
2020-11-13 19:30:45,Intelligence Email File Writing,G,3,4,2,6
2020-11-13 19:45:16,Utilities News Social,N,2,3,1,56
2020-11-13 19:59:46,Intelligence Email File Writing,G,3,4,2,120
2020-11-13 20:14:17,Intelligence Email File Writing,G,3,4,2,32
2020-11-13 20:28:47,Spreadsheet Utilities Browsers Email,G,3,5,2.5,85
2020-11-13 20:43:18,Social News,N,2,3,1,105
2020-11-13 20:57:49,Utilities News Social,N,2,3,1,35
2020-11-13 21:12:19,Presentation Meeting Email Project Email Utilities,G,3,6,3,199
2020-11-13 21:26:50,Presentation Meeting Email Project Email Utilities,G,3,6,3,99
2020-11-13 21:41:20,Message NMU Portal Email Writing,G,3,5,2.5,15
2020-11-13 21:55:51,Utilities News Social,N,2,3,1,37
2020-11-13 22:10:22,Utilities News Social,N,2,3,1,114
2020-11-13 22:24:52,Utilities News Social,N,2,3,1,145
2020-11-13 22:39:23,Social News,P,1,3,0.5,49
2020-11-13 22:53:53,Utilities News Social,P,1,3,0.5,68
2020-11-13 23:08:24,Utilities Shopping News,N,2,3,1,76
2020-11-13 23:22:55,Intelligence Email File Writing,G,3,4,2,99
2020-11-13 23:37:25,Utilities News Social,N,2,3,1,47
2020-11-13 23:51:56,Utilities Photos Music Social News,N,2,6,2,121
2020-11-14 00:06:26,Social News,P,1,3,0.5,155
2020-11-14 00:20:57,Social News,P,1,3,0.5,101
2020-11-14 00:35:28,Utilities Shopping News,N,2,3,1,142
2020-11-14 00:49:58,Utilities News Social,N,2,3,1,80
2020-11-14 01:04:29,Message NMU Portal Email Writing,G,3,5,2.5,47
2020-11-14 01:18:59,Spreadsheet Utilities Browsers Email,G,3,5,2.5,163
2020-11-14 01:33:30,Intelligence Email File Writing,G,3,4,2,32
2020-11-14 01:48:01,Intelligence Email File Writing,G,3,4,2,36
2020-11-14 02:02:31,Search Shopping Social Utilities,N,2,4,1.333333333,49
2020-11-14 02:17:02,Utilities Photos Music Social News,N,2,6,2,119
2020-11-14 02:31:32,Message NMU Portal Email Writing,G,3,5,2.5,143
2020-11-14 02:46:03,Utilities News Social,P,1,3,0.5,5
2020-11-14 03:00:34,Presentation Meeting Email Project Email Utilities,G,3,6,3,52
2020-11-14 03:15:04,Utilities News Social,N,2,3,1,66
2020-11-14 03:29:35,Intelligence Email File Writing,G,3,4,2,67
2020-11-14 03:44:05,Intelligence Email File Writing,G,3,4,2,120
2020-11-14 03:58:36,Intelligence Email File Writing,G,3,4,2,53
2020-11-14 04:13:07,Utilities Shopping News,P,1,3,0.5,120
2020-11-14 04:27:37,Message NMU Portal Email Writing,G,3,5,2.5,102
2020-11-14 04:42:08,Utilities News Social,P,1,3,0.5,43
2020-11-14 04:56:38,News Shopping  Browsers Social,P,1,6,1,74
2020-11-14 05:11:09,Utilities News Social,N,2,3,1,64
2020-11-14 05:25:40,Utilities Photos Music Social News,P,1,6,1,37
2020-11-14 05:40:10,Utilities News Social,N,2,3,1,29
2020-11-14 05:54:41,Intelligence Email File Writing,G,3,4,2,115
2020-11-14 06:09:11,Calendar Email Utilities Portal,G,3,4,2,42
2020-11-14 06:23:42,Utilities Shopping News,N,2,3,1,67
2020-11-14 06:38:13,Social News,P,1,3,0.5,41
2020-11-14 06:52:43,Utilities News Social,N,2,3,1,63
2020-11-14 07:07:14,Utilities Photos Music Social News,N,2,6,2,49
2020-11-14 07:21:44,Social News,N,2,3,1,26
2020-11-14 07:36:15,Calendar Email Utilities Portal,G,3,4,2,16
2020-11-14 07:50:46,Search Shopping Social Utilities,P,1,4,0.6666666667,80
2020-11-14 08:05:16,Utilities News Social,P,1,3,0.5,40
2020-11-14 08:19:47,Calendar Email Utilities Portal,G,3,4,2,22
2020-11-14 08:34:17,Social News,P,1,3,0.5,182
2020-11-14 08:48:48,Intelligence Email File Writing,G,3,4,2,89
2020-11-14 09:03:19,Social News,P,1,3,0.5,27
2020-11-14 09:17:49,Utilities Shopping News,P,1,3,0.5,3
2020-11-14 09:32:20,Message NMU Portal Email Writing,G,3,5,2.5,141
2020-11-14 09:46:50,Message NMU Portal Email Writing,G,3,5,2.5,189
2020-11-14 10:01:21,News Shopping  Browsers Social,N,2,6,2,17
2020-11-14 10:15:52,Utilities News Social,N,2,3,1,16
2020-11-14 10:30:22,Utilities News Social,N,2,3,1,71
2020-11-14 10:44:53,News Shopping  Browsers Social,P,1,6,1,33
2020-11-14 10:59:23,Presentation Meeting Email Project Email Utilities,G,3,6,3,52
2020-11-14 11:13:54,Calendar Email Utilities Portal,G,3,4,2,37
2020-11-14 11:28:25,Message NMU Portal Email Writing,G,3,5,2.5,1
2020-11-14 11:42:55,Social News,N,2,3,1,72
2020-11-14 11:57:26,News Shopping  Browsers Social,N,2,6,2,46
2020-11-14 12:11:56,Calendar Email Utilities Portal,G,3,4,2,55
